Year,Month,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),SO2 (µg/m³),CO (mg/m³),O3 (µg/m³),Temperature (°C),Humidity (%),Wind Speed (m/s),Wind Direction (°),Pressure (hPa),Precipitation (mm),Visibility (km),AQI,Season
2015,1,113.27,179.22,39.72,27.06,2.6,135.64,10.25,37.64,3.31,150.48,1022.83,27.49,7.92,198.6,Winter
2015,3,157.52,87.41,60.2,22.32,2.78,105.04,1.25,59.02,4.1,178.89,1043.23,11.11,13.13,318.0,Spring
2015,4,130.17,176.56,53.07,29.26,1.42,112.87,21.47,52.71,6.12,117.47,1006.92,26.3,6.57,186.0,Spring
2015,5,154.42,43.54,72.98,26.79,2.02,128.21,-4.53,31.15,4.13,155.13,1007.72,33.85,13.61,225.0,Spring
2015,6,117.78,200.03,62.75,34.98,3.0,133.26,8.26,90.04,5.7,246.42,1015.55,32.34,6.21,226.67,Summer
2015,7,225.46,142.61,71.37,34.54,2.38,113.76,17.26,55.48,6.53,171.81,1011.14,20.53,12.68,266.0,Summer
2015,8,121.75,183.79,51.47,27.03,2.81,99.09,19.35,54.2,3.66,112.45,1007.01,30.97,12.98,232.62,Summer
2015,9,83.3,42.89,65.29,24.3,3.22,147.35,22.97,81.94,8.89,338.63,1033.09,25.9,6.48,256.0,Autumn
2015,10,163.39,104.08,52.46,21.5,3.04,139.88,19.64,28.36,3.23,202.97,999.71,26.55,12.49,55.67,Autumn
2015,11,125.93,139.37,64.0,21.45,2.82,83.68,18.16,37.58,7.32,172.75,1011.71,31.3,6.41,283.67,Autumn
2015,12,161.47,155.39,43.91,27.12,2.44,92.36,19.62,37.69,3.9,165.55,1012.63,27.68,9.97,170.12,Winter
2016,1,216.77,207.38,45.49,33.7,1.12,85.43,15.51,41.42,3.14,272.17,1008.15,23.66,9.07,340.0,Winter
2016,2,110.65,144.77,49.17,21.86,2.79,115.98,15.63,51.4,3.93,190.65,1020.67,34.06,9.65,358.83,Winter
2016,3,150.32,125.78,35.13,26.7,3.11,89.16,22.46,44.85,6.17,203.32,1015.35,24.24,13.59,271.75,Spring
2016,4,174.78,280.81,57.9,24.38,2.44,43.89,10.23,67.34,8.39,293.02,1009.15,8.51,1.81,468.0,Spring
2016,5,87.45,171.58,45.9,31.02,2.37,96.72,23.94,49.89,1.43,135.98,1004.26,35.14,9.67,345.0,Spring
2016,6,212.02,116.66,78.64,38.3,4.62,24.98,33.67,15.59,8.64,294.03,1048.71,16.6,6.01,340.0,Summer
2016,7,101.96,56.54,36.63,26.97,2.52,116.96,20.16,63.11,3.23,133.01,1014.06,15.68,8.1,246.25,Summer
2016,8,133.11,175.53,39.72,33.86,2.56,79.48,18.05,57.67,4.06,258.42,1021.94,22.22,10.48,178.0,Summer
2016,9,127.25,168.76,65.2,26.85,2.92,99.29,7.81,48.53,4.88,96.68,1016.72,32.54,7.63,256.6,Autumn
2016,10,122.2,145.09,51.38,28.15,2.98,120.07,19.91,42.09,6.01,160.72,1005.63,29.03,9.92,239.17,Autumn
2016,11,98.29,126.93,66.8,20.09,2.36,108.12,8.08,59.13,5.19,246.77,1003.3,26.93,7.41,228.83,Autumn
2016,12,167.03,190.88,25.31,28.58,2.2,102.27,17.64,61.01,7.79,101.04,1020.05,8.83,4.51,294.0,Winter
2017,1,89.53,182.73,72.33,18.49,1.29,44.71,11.79,55.76,4.31,190.66,1024.02,22.99,9.0,176.5,Winter
2017,2,117.93,127.92,88.79,23.69,2.43,99.57,5.72,50.13,6.39,174.65,1021.07,23.95,6.24,185.25,Winter
2017,3,162.15,123.44,60.98,16.54,3.41,107.07,-0.48,56.69,4.19,117.81,1010.84,20.52,9.99,134.25,Spring
2017,4,110.87,168.14,62.78,30.23,3.13,125.07,21.67,56.76,4.53,136.8,1024.09,13.48,10.1,304.4,Spring
2017,5,103.91,114.77,66.61,20.81,2.53,134.09,21.04,59.15,7.9,124.43,1013.96,33.39,7.86,314.4,Spring
2017,6,110.68,133.75,34.82,34.63,1.66,130.79,13.97,46.83,4.26,227.42,1010.46,19.24,11.89,194.33,Summer
2017,7,119.52,144.64,47.47,27.38,1.5,109.46,27.3,53.21,5.88,214.94,1017.1,19.91,10.97,210.6,Summer
2017,8,181.32,121.97,35.54,15.43,2.4,144.16,13.77,30.63,8.73,195.58,1025.45,27.51,12.27,164.0,Summer
2017,9,134.64,103.16,72.71,23.32,4.45,65.38,27.81,36.58,0.66,231.63,992.08,24.23,10.03,325.33,Autumn
2017,10,132.46,143.45,62.25,20.62,2.83,89.09,26.42,43.95,6.14,209.52,1005.69,11.04,10.92,290.67,Autumn
2017,11,152.35,192.22,46.74,18.46,1.69,120.07,28.51,87.88,6.55,258.07,1004.87,24.32,2.76,277.75,Autumn
2017,12,81.66,156.88,61.35,25.44,2.89,95.77,21.15,62.21,5.52,201.64,1012.19,23.26,11.87,299.71,Winter
2018,1,80.08,150.03,40.45,26.2,2.77,104.35,16.3,51.4,4.78,230.9,1022.48,26.2,10.32,196.33,Winter
2018,2,214.58,42.75,52.71,37.87,2.37,129.36,11.04,43.48,4.36,189.05,1004.96,24.35,12.45,263.5,Winter
2018,3,107.2,188.47,52.54,19.63,1.5,131.98,13.75,61.46,5.46,103.25,999.66,32.83,8.7,193.88,Spring
2018,4,137.33,184.07,62.71,17.7,2.59,120.25,12.89,48.6,4.69,191.51,1011.2,34.59,9.08,272.0,Spring
2018,5,150.35,128.9,48.45,32.15,1.05,87.39,17.35,44.68,6.03,174.93,1016.99,6.69,7.98,265.67,Spring
2018,6,157.18,142.31,45.19,29.32,2.66,137.06,9.53,46.0,6.41,200.79,994.71,29.26,14.16,271.8,Summer
2018,7,120.39,145.3,68.0,17.6,2.68,113.66,23.04,57.4,5.75,224.28,1016.4,23.67,11.27,245.44,Summer
2018,8,159.66,134.9,66.97,26.64,2.99,65.64,13.07,56.24,6.94,127.86,1015.47,16.92,13.11,186.2,Summer
2018,9,210.47,132.2,54.35,16.38,0.93,105.61,-3.19,42.42,4.74,210.02,985.03,21.32,7.18,111.0,Autumn
2018,10,131.44,171.14,36.9,25.26,3.02,118.26,7.41,55.79,4.48,119.65,1014.17,27.61,9.89,208.62,Autumn
2018,11,116.97,183.19,59.79,19.02,2.66,89.87,19.85,49.87,6.03,200.25,1016.04,16.72,11.21,156.0,Autumn
2018,12,120.18,146.48,46.62,34.39,1.89,150.12,16.92,59.99,3.52,215.55,1020.07,16.99,12.02,311.83,Winter
2019,1,116.19,183.91,55.95,36.22,2.24,93.8,1.03,50.24,5.3,180.86,1016.1,24.62,13.61,185.57,Winter
2019,2,102.91,161.84,62.72,19.38,1.98,62.14,16.09,51.02,6.13,171.78,1010.58,24.82,11.83,308.33,Winter
2019,3,122.26,151.17,59.62,30.56,2.75,97.32,10.44,60.04,5.12,161.56,1012.22,25.72,7.61,262.12,Spring
2019,4,126.12,193.13,50.04,29.7,1.81,62.88,15.16,59.35,5.36,196.69,1019.33,17.62,8.32,193.12,Spring
2019,5,122.29,194.11,31.74,22.66,2.87,77.19,11.22,61.67,5.31,175.94,1012.39,27.67,9.75,222.0,Spring
2019,6,127.79,119.37,51.96,17.12,2.2,55.3,14.72,46.65,3.16,256.9,1020.27,18.14,10.05,300.5,Summer
2019,7,115.04,191.23,54.42,33.9,1.93,92.3,19.05,74.86,3.69,113.69,1012.66,38.11,13.46,220.17,Summer
2019,8,115.55,131.17,61.26,19.85,3.22,117.43,12.94,56.29,3.25,110.12,1029.55,25.11,8.79,97.0,Summer
2019,9,159.73,171.65,61.84,38.93,1.69,27.38,5.38,41.97,6.9,227.62,1011.41,26.85,11.58,412.33,Autumn
2019,10,113.22,178.87,72.34,23.59,4.55,145.05,15.03,80.67,6.9,214.44,1007.28,28.06,4.09,41.0,Autumn
2019,11,97.68,156.52,60.56,37.29,1.62,91.07,19.08,45.72,4.89,111.45,1011.96,23.63,8.88,245.6,Autumn
2019,12,107.39,180.13,40.59,27.58,2.4,109.24,6.31,62.12,3.24,118.08,1015.27,30.09,12.0,318.6,Winter
2020,1,138.45,185.82,44.73,24.45,2.09,134.83,18.37,72.7,3.82,244.92,1009.97,25.24,7.32,212.89,Winter
2020,2,128.29,183.78,66.64,27.99,3.2,126.85,15.43,65.8,5.52,254.88,1008.69,17.24,7.97,146.8,Winter
2020,3,144.26,232.38,60.8,24.51,2.64,112.09,23.3,66.41,4.18,223.63,1009.04,21.27,11.86,228.6,Spring
2020,4,151.25,153.35,51.72,21.87,2.23,83.38,19.97,76.32,6.76,179.77,1021.48,14.03,6.82,209.14,Spring
2020,5,141.48,148.47,40.65,17.77,2.19,100.46,9.37,42.11,4.67,150.35,1007.99,21.15,7.91,213.12,Spring
2020,6,114.28,139.48,48.33,32.05,2.29,98.3,19.38,48.39,7.0,158.66,1013.18,26.23,11.19,133.25,Summer
2020,7,118.96,133.98,65.32,16.56,3.66,133.98,23.54,53.25,6.92,212.72,1022.39,29.16,8.06,289.0,Summer
2020,8,151.22,150.79,61.77,34.57,1.81,103.69,9.41,46.36,4.55,144.28,1014.9,34.16,4.95,353.25,Summer
2020,9,184.9,130.81,63.68,19.33,2.71,101.11,27.13,53.5,2.54,218.61,1020.05,28.16,9.22,290.0,Autumn
2020,10,82.76,199.59,64.36,33.52,2.6,91.16,15.28,60.37,4.33,109.8,1017.79,35.25,11.62,227.2,Autumn
2020,11,156.96,183.37,58.83,30.11,2.3,88.93,7.17,53.15,4.0,172.22,1024.2,25.64,8.67,271.25,Autumn
2020,12,184.15,174.17,35.65,23.87,1.74,101.22,7.73,62.68,4.18,185.32,1025.98,19.15,13.22,305.5,Winter
2021,1,202.85,210.59,61.78,30.46,2.66,81.0,16.75,54.24,3.97,114.04,1029.65,29.46,7.21,384.0,Winter
2021,2,143.5,148.25,46.22,25.05,1.95,99.49,21.73,57.67,6.47,223.09,1013.31,24.72,13.52,196.83,Winter
2021,3,85.43,170.37,35.11,15.86,3.49,84.9,13.14,49.72,6.18,195.87,1023.72,15.13,6.27,283.67,Spring
2021,4,130.77,125.79,52.74,17.13,2.33,75.43,12.43,38.17,5.12,191.69,1008.81,26.6,6.39,262.56,Spring
2021,5,166.61,118.99,41.24,15.08,2.11,96.25,13.51,55.31,3.87,145.51,1017.35,19.38,5.07,266.0,Spring
