Year,Month,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),SO2 (µg/m³),CO (mg/m³),O3 (µg/m³),Temperature (°C),Humidity (%),Wind Speed (m/s),Wind Direction (°),Pressure (hPa),Precipitation (mm),Visibility (km),AQI,Season
2015,1,91.54,165.3,47.46,21.76,3.0,77.66,21.65,81.59,4.99,169.66,1018.7,27.92,10.1,209.88,Winter
2015,2,84.97,129.5,57.22,44.27,2.6,55.76,17.8,40.05,3.31,130.69,997.62,20.28,17.33,240.5,Winter
2015,3,128.59,178.37,64.04,40.2,3.15,85.78,24.38,51.6,4.66,194.92,1022.32,25.84,9.58,246.2,Spring
2015,4,102.69,144.7,61.85,36.89,1.82,89.25,19.58,68.35,8.4,195.1,1012.36,17.85,8.49,269.33,Spring
2015,5,158.16,148.07,58.31,23.99,2.48,97.61,9.89,66.69,6.04,154.93,1017.85,30.77,9.76,254.88,Spring
2015,6,147.01,134.55,35.48,14.5,2.81,80.93,19.12,51.65,3.33,156.61,1001.17,17.13,13.81,166.33,Summer
2015,7,122.64,185.24,57.14,18.57,3.49,133.45,12.19,46.68,5.69,248.77,1010.4,30.83,10.78,209.2,Summer
2015,8,149.15,168.34,57.79,18.63,1.79,127.93,10.39,52.34,5.75,197.96,1028.45,27.69,11.41,263.0,Summer
2015,9,109.81,209.11,70.92,19.68,2.93,97.83,19.51,55.9,5.74,191.39,1030.49,29.38,10.45,285.0,Autumn
2015,10,81.37,142.52,35.25,10.34,2.41,68.28,19.86,43.8,6.46,101.5,1013.98,24.27,10.64,302.67,Autumn
2015,11,211.35,154.68,83.95,38.94,1.86,98.56,12.6,56.04,4.89,123.63,1010.48,8.86,8.13,425.0,Autumn
2015,12,93.89,186.84,67.39,21.81,2.27,110.31,11.94,71.22,5.03,158.26,1014.26,26.79,8.8,62.0,Winter
2016,1,232.59,212.1,25.52,29.17,4.05,98.68,4.12,29.39,0.17,247.77,1005.57,39.67,17.43,12.0,Winter
2016,2,135.68,176.72,68.01,29.55,2.39,122.43,10.94,42.89,6.15,130.09,1021.26,17.28,7.41,222.8,Winter
2016,3,105.65,175.46,47.17,30.8,3.13,125.56,12.08,73.66,4.79,235.07,1022.79,31.49,6.07,301.86,Spring
2016,4,78.18,209.52,54.75,20.06,1.53,92.83,13.76,78.84,4.93,154.9,1012.28,25.95,11.42,231.78,Spring
2016,5,131.42,153.54,69.26,18.3,2.73,84.1,19.76,35.41,5.19,195.47,1010.68,18.79,12.55,224.33,Spring
2016,6,137.82,172.27,50.5,28.56,1.96,123.28,13.94,49.52,5.46,221.33,1022.5,23.26,9.2,253.45,Summer
2016,7,133.16,296.14,41.2,12.84,3.85,98.41,7.68,60.98,4.84,185.85,999.63,19.86,8.1,378.0,Summer
2016,8,30.59,40.62,89.6,16.49,2.72,147.86,20.92,95.57,8.58,91.52,1023.08,47.37,17.8,468.0,Summer
2016,9,137.07,184.4,60.55,22.5,2.48,112.86,18.01,60.13,4.63,163.2,1019.38,24.62,9.52,264.0,Autumn
2016,10,60.1,170.23,38.87,16.73,4.08,116.6,11.03,53.48,4.75,189.24,1011.73,22.18,9.71,333.75,Autumn
2016,11,126.24,170.09,50.16,28.96,2.78,164.87,13.4,69.9,5.15,210.83,1010.82,21.43,9.76,287.25,Autumn
2016,12,142.36,167.59,25.0,18.02,2.93,75.03,6.02,82.81,5.34,226.76,1019.42,27.62,14.6,315.5,Winter
2017,1,190.49,213.83,59.93,33.81,2.36,90.49,22.55,45.07,6.13,103.32,1024.03,25.01,12.97,358.8,Winter
2017,2,153.95,100.82,64.53,18.75,4.0,114.02,23.51,83.71,2.58,168.22,1025.32,39.09,1.87,209.5,Winter
2017,3,131.37,175.37,65.96,29.02,3.27,95.72,6.35,54.62,5.73,170.58,1014.36,23.75,12.76,224.71,Spring
2017,4,141.82,130.72,51.07,17.5,3.45,83.85,18.67,49.17,4.65,122.38,999.38,11.27,7.13,321.12,Spring
2017,5,162.57,152.16,21.02,15.4,0.79,92.48,27.3,70.15,4.12,178.71,1035.32,23.56,15.71,189.5,Spring
2017,6,134.03,237.01,53.69,30.17,3.05,40.45,11.5,72.21,8.01,212.15,1005.16,21.0,4.75,228.67,Summer
2017,7,169.02,155.23,48.62,24.62,2.03,130.24,21.4,59.15,4.58,196.44,1030.77,28.95,10.98,218.55,Summer
2017,8,168.13,117.62,51.91,31.0,3.69,148.74,26.49,82.44,4.02,101.76,1009.77,20.36,11.33,271.5,Summer
2017,9,143.07,172.11,24.6,33.53,1.87,89.66,22.53,20.05,5.53,180.48,1002.09,32.87,13.54,227.0,Autumn
2017,10,143.28,139.54,48.71,25.57,2.98,80.88,6.27,65.3,7.68,172.38,1000.0,20.51,11.76,47.0,Autumn
2017,11,178.31,148.96,79.81,31.7,1.93,149.07,6.26,49.64,5.28,183.33,1010.17,18.94,13.78,260.0,Autumn
2017,12,176.01,173.34,53.76,34.56,2.45,66.27,20.55,77.9,4.63,237.31,1003.22,32.29,15.01,277.0,Winter
2018,1,95.91,122.19,36.72,28.47,1.91,84.62,9.42,60.02,4.08,141.98,1023.03,32.71,7.07,189.8,Winter
2018,2,135.82,160.67,39.13,26.39,1.71,121.03,25.71,59.34,4.11,174.9,1012.2,28.08,9.27,345.67,Winter
