Year,Month,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),SO2 (µg/m³),CO (mg/m³),O3 (µg/m³),Temperature (°C),Humidity (%),Wind Speed (m/s),Wind Direction (°),Pressure (hPa),Precipitation (mm),Visibility (km),AQI,Season
2015,1,144.54,200.07,29.87,23.06,1.94,115.56,6.22,51.43,4.02,223.74,1021.25,25.97,16.55,138.0,Winter
2015,2,99.5,155.57,45.17,29.82,0.86,55.67,13.07,68.68,2.87,143.02,1023.77,21.14,12.99,313.0,Winter
2015,3,96.69,161.92,51.84,41.86,2.89,106.54,10.2,86.79,3.65,154.19,1009.45,17.5,17.66,68.5,Spring
2015,4,62.88,107.76,30.28,35.67,1.02,46.38,3.92,55.54,3.83,181.11,1028.23,22.03,13.07,330.0,Spring
2015,5,88.03,82.47,52.13,25.12,2.59,78.12,6.97,37.72,8.5,72.25,1017.48,27.74,9.22,246.75,Spring
2015,6,168.09,217.62,40.24,39.02,2.84,114.26,20.03,61.36,4.26,190.57,1027.93,14.2,13.17,303.0,Summer
2015,7,57.44,253.53,31.15,23.3,1.94,92.42,26.0,57.32,5.45,196.02,1024.3,32.53,8.03,329.5,Summer
2015,8,95.4,100.41,59.79,29.67,4.16,100.55,16.07,41.93,5.02,209.23,1035.14,41.84,11.8,306.33,Summer
2015,9,114.85,165.74,27.72,17.98,2.36,115.07,0.12,49.06,3.82,138.96,1001.71,25.98,9.9,357.17,Autumn
2015,10,130.87,194.83,64.33,23.78,2.42,120.32,13.94,49.18,5.64,175.12,1009.03,32.63,10.68,148.5,Autumn
2015,11,99.22,148.29,45.66,27.91,2.42,137.22,11.88,45.16,5.2,223.62,1017.5,25.47,10.97,254.71,Autumn
2015,12,134.23,133.27,62.14,23.89,2.74,97.22,11.18,50.12,4.7,176.99,1014.31,18.72,12.37,212.29,Winter
2016,1,151.73,111.53,46.91,25.55,2.8,120.44,26.97,69.14,4.49,206.38,1025.85,33.09,9.08,314.75,Winter
2016,2,155.04,159.19,65.36,22.61,3.21,94.06,15.96,58.8,6.1,163.87,1008.38,28.63,7.28,238.44,Winter
2016,3,228.95,141.52,32.54,41.74,3.3,76.46,12.33,27.09,0.94,296.58,996.25,8.42,5.34,342.0,Spring
2016,4,149.56,191.81,56.78,17.17,1.83,114.55,20.55,57.84,4.05,194.67,1020.74,20.37,13.45,299.25,Spring
2016,5,95.98,200.12,39.22,24.74,2.42,90.97,10.57,65.97,3.43,126.41,994.81,27.31,12.45,133.75,Spring
2016,6,115.69,146.68,25.07,42.24,3.32,82.9,14.24,49.61,5.13,155.88,1002.85,33.67,6.2,242.5,Summer
2016,7,121.06,231.41,60.83,40.89,3.11,113.56,26.77,39.27,5.03,173.34,1030.47,8.59,5.2,164.0,Summer
2016,8,109.05,222.96,70.81,7.16,1.0,45.59,26.76,28.42,6.52,175.9,1017.3,19.35,1.89,349.5,Summer
2016,9,110.04,93.67,45.82,18.01,3.01,111.53,6.49,39.74,3.56,190.44,1012.14,37.04,8.99,246.25,Autumn
2016,10,118.4,116.03,58.46,15.7,3.37,91.27,12.45,44.68,5.06,238.67,1006.58,27.51,14.41,272.0,Autumn
2016,11,139.87,156.12,41.05,37.78,2.16,119.28,16.38,46.18,7.96,217.82,1039.64,34.31,13.09,225.0,Autumn
2016,12,100.21,116.44,21.01,20.81,2.53,166.32,6.1,60.54,7.84,301.48,1022.94,37.07,8.42,252.0,Winter
2017,1,98.63,178.04,48.18,33.7,3.72,117.77,14.17,52.18,4.98,193.62,1006.37,31.95,13.51,239.0,Winter
2017,2,172.29,161.98,68.72,25.09,2.43,145.65,8.4,51.24,6.16,142.14,1017.29,25.98,9.07,230.57,Winter
2017,3,162.83,168.64,53.43,20.96,2.23,95.11,16.03,53.02,4.32,200.74,1015.12,28.01,9.39,290.91,Spring
2017,4,110.67,168.57,54.62,31.63,0.82,93.04,18.74,65.06,5.87,173.73,992.64,29.46,6.67,136.0,Spring
2017,5,170.23,134.09,46.63,24.24,2.74,136.55,13.2,57.42,4.57,179.94,1015.37,27.33,10.71,288.75,Spring
2017,6,116.72,157.28,61.71,22.31,2.86,110.94,22.1,41.18,4.93,200.83,1009.68,25.38,9.07,336.25,Summer
2017,7,47.75,130.85,39.84,23.89,1.76,85.68,20.4,41.95,2.39,247.29,1026.93,34.97,16.97,336.0,Summer
2017,8,130.36,146.78,42.8,27.12,2.16,117.62,17.83,55.81,6.04,206.2,1011.96,23.82,7.61,233.15,Summer
2017,9,148.12,127.09,51.5,16.31,3.12,105.4,6.92,70.17,8.31,183.82,1000.64,27.23,13.12,208.17,Autumn
2017,10,116.78,158.33,79.07,28.02,2.72,76.85,20.02,82.82,6.25,198.92,1007.49,18.35,12.16,274.5,Autumn
2017,11,157.58,163.1,61.06,20.39,2.24,146.56,36.48,70.72,6.23,74.04,1007.38,23.22,11.5,177.0,Autumn
2017,12,76.86,147.56,51.46,23.13,2.89,80.04,14.61,54.9,3.98,98.13,1023.53,30.11,9.45,153.5,Winter
2018,1,85.94,182.13,54.63,36.66,2.91,86.74,22.03,48.68,5.1,211.89,1029.96,21.89,10.0,110.25,Winter
2018,2,143.75,156.38,38.1,15.62,3.84,92.55,22.65,58.15,7.54,193.47,1008.23,15.39,6.46,373.0,Winter
2018,3,130.07,161.91,51.67,17.4,2.0,123.05,16.05,63.1,4.72,147.64,1010.15,28.53,11.22,253.43,Spring
2018,4,108.74,179.32,26.4,34.63,3.7,104.92,2.95,83.18,4.51,85.72,1004.68,23.59,9.27,354.0,Spring
2018,5,142.96,160.21,51.89,23.43,2.82,128.65,12.75,51.68,6.51,143.85,1019.27,22.0,8.5,351.89,Spring
2018,6,149.58,108.06,58.5,47.18,2.38,127.3,5.97,47.65,5.15,271.66,1013.14,35.58,10.01,146.25,Summer
2018,7,135.75,136.0,57.57,23.49,2.83,78.41,12.72,67.41,4.85,157.04,1003.53,26.93,9.08,200.75,Summer
2018,8,153.92,164.75,51.82,29.92,2.56,68.69,24.54,39.63,3.45,192.49,1006.82,44.38,12.9,339.67,Summer
2018,9,120.57,201.75,50.08,26.04,2.55,100.8,22.2,43.64,6.9,186.71,1013.19,26.07,12.09,342.86,Autumn
2018,10,120.13,139.96,66.33,33.73,3.76,129.72,18.22,47.53,7.44,175.21,1032.35,24.66,11.73,316.25,Autumn
2018,11,118.55,164.25,63.77,11.69,1.33,136.06,8.18,63.94,4.86,228.06,1015.43,27.54,6.4,213.75,Autumn
2018,12,117.04,135.9,70.62,29.68,2.51,105.79,20.45,68.1,4.5,248.47,1027.97,13.61,13.05,206.0,Winter
2019,1,113.31,147.98,66.0,35.28,2.38,128.84,12.33,32.63,5.51,192.16,1019.61,21.22,10.25,244.67,Winter
2019,2,172.97,97.12,59.96,25.08,2.95,100.03,13.51,35.8,5.87,165.49,1008.13,20.46,4.81,317.25,Winter
2019,3,169.5,184.55,48.49,36.92,3.52,96.44,26.42,72.1,5.0,82.53,1009.83,12.77,6.51,218.67,Spring
2019,4,135.02,164.47,56.98,32.12,2.38,135.49,7.35,52.78,5.08,220.49,1029.93,22.52,13.48,247.38,Spring
2019,5,163.5,160.48,49.85,3.85,2.53,135.71,-2.36,59.08,5.32,318.17,981.98,15.75,8.75,136.5,Spring
2019,6,164.7,238.54,54.59,25.93,2.48,130.25,16.53,65.86,4.45,118.01,1005.84,34.11,8.64,296.67,Summer
2019,7,68.65,124.36,72.87,29.4,2.06,111.1,8.88,61.37,7.01,203.99,992.47,19.81,12.71,289.17,Summer
2019,8,135.92,96.71,32.55,30.71,1.49,132.0,12.72,46.0,5.46,177.03,1027.02,37.49,6.63,402.75,Summer
2019,9,140.16,254.86,69.38,24.43,3.37,109.34,-0.8,37.88,6.41,200.78,995.8,26.88,11.59,168.0,Autumn
2019,10,183.91,197.0,73.71,23.55,2.17,145.27,20.14,37.68,3.06,231.74,1011.13,32.73,11.44,328.2,Autumn
2019,11,118.14,169.47,62.46,28.04,3.29,127.1,21.88,50.91,6.72,184.61,1010.73,16.94,10.95,210.5,Autumn
