Year,Month,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),SO2 (µg/m³),CO (mg/m³),O3 (µg/m³),Temperature (°C),Humidity (%),Wind Speed (m/s),Wind Direction (°),Pressure (hPa),Precipitation (mm),Visibility (km),AQI,Season
2015,1,120.41,183.49,32.95,24.95,3.97,118.59,3.22,55.01,4.99,199.82,1008.95,25.39,10.12,207.83,Winter
2015,2,156.45,140.58,45.49,20.08,3.24,86.05,11.33,70.59,2.73,240.54,1010.6,34.78,12.64,352.4,Winter
2015,3,115.57,231.07,39.17,32.17,2.86,73.63,10.87,59.3,5.61,200.75,1016.64,28.03,10.11,212.6,Spring
2015,4,104.38,174.22,54.69,21.78,1.68,108.39,32.68,62.13,6.65,179.88,1008.59,35.25,12.99,158.6,Spring
2015,5,115.23,161.4,56.64,32.91,2.72,119.06,19.99,61.07,4.37,184.23,1024.4,37.17,10.67,329.71,Spring
2015,6,149.47,167.27,61.72,28.81,2.85,113.92,7.55,58.75,3.8,285.25,1016.61,21.76,10.65,217.0,Summer
2015,7,139.08,163.25,62.9,29.67,2.92,78.11,3.03,44.96,4.77,263.06,1008.2,28.31,4.45,350.33,Summer
2015,8,166.4,133.66,53.21,11.71,4.08,106.85,15.86,54.61,7.29,142.49,1020.29,28.3,10.76,296.0,Summer
2015,9,112.82,169.47,38.15,26.66,2.56,110.5,4.7,53.8,8.62,94.81,1021.46,40.92,14.74,333.5,Autumn
2015,10,124.32,143.93,47.84,26.33,2.34,104.21,9.39,62.85,4.75,223.98,1004.75,22.04,11.08,272.45,Autumn
2015,11,172.27,97.84,60.17,25.97,2.82,88.19,10.35,54.9,2.49,150.67,1024.24,32.66,13.07,238.71,Autumn
2015,12,113.96,194.1,53.11,21.08,1.87,101.83,19.5,60.41,4.98,174.24,1017.42,18.62,12.45,234.12,Winter
2016,1,124.81,226.88,45.0,31.4,2.02,52.77,21.85,58.73,4.15,174.79,1020.75,32.38,13.14,173.75,Winter
2016,2,121.23,126.14,64.79,22.64,2.58,109.75,2.17,56.14,4.64,133.19,1011.51,19.51,8.37,267.5,Winter
2016,3,111.01,221.58,54.26,35.02,1.41,128.59,6.62,83.93,4.63,224.87,1015.57,23.98,6.4,243.2,Spring
2016,4,119.72,179.61,63.57,28.55,2.78,66.76,24.45,40.31,3.14,212.91,1014.91,22.88,6.07,149.25,Spring
2016,5,94.65,224.03,52.15,16.08,1.86,144.12,16.45,49.09,7.59,227.09,1015.36,16.8,15.97,276.0,Spring
2016,6,116.87,76.62,41.51,43.46,1.91,65.61,27.55,43.69,4.85,167.45,1018.97,22.74,18.01,372.5,Summer
2016,7,151.65,259.52,53.73,10.16,2.25,102.71,10.93,42.41,5.9,171.84,999.73,34.49,14.81,170.33,Summer
2016,8,94.38,160.42,35.7,36.91,2.49,155.19,22.13,52.05,2.4,251.86,1005.6,17.1,11.68,81.6,Summer
2016,9,92.02,156.38,49.91,23.18,3.4,76.41,22.26,51.47,3.5,222.99,1006.05,32.18,17.62,230.25,Autumn
2016,10,97.67,188.21,73.44,31.89,2.81,127.69,14.39,56.97,6.6,171.13,1006.74,18.5,10.07,161.0,Autumn
2016,11,141.28,165.36,62.03,30.55,2.13,65.82,24.31,66.5,6.07,165.64,1016.14,32.37,8.07,123.33,Autumn
2016,12,113.83,113.03,53.73,27.59,3.08,126.82,16.66,25.28,7.62,257.24,1006.53,25.28,13.01,288.75,Winter
2017,1,129.51,159.92,67.57,34.02,3.35,48.93,4.65,41.17,1.72,42.97,992.26,41.51,8.16,219.0,Winter
2017,2,145.66,95.0,60.1,7.04,0.98,72.58,15.9,61.01,7.11,186.88,1004.44,30.24,5.26,185.67,Winter
2017,3,128.59,198.12,35.03,32.42,1.9,80.6,9.47,53.22,7.11,150.92,1024.27,16.36,8.59,283.33,Spring
2017,4,111.55,196.53,53.51,35.27,2.0,111.58,20.29,63.86,3.89,147.95,1002.06,10.45,10.32,160.67,Spring
2017,5,134.85,173.74,50.51,34.1,2.18,94.92,15.15,74.71,2.4,166.59,1027.71,13.89,9.94,182.67,Spring
2017,6,132.35,161.13,43.94,20.92,2.01,96.33,22.27,60.56,6.03,179.0,1020.51,22.11,14.24,323.8,Summer
2017,7,122.61,172.79,64.82,23.44,2.76,147.32,8.12,51.23,7.0,71.9,1009.88,27.34,6.89,289.17,Summer
2017,8,140.54,177.65,52.46,28.41,2.23,96.14,7.91,52.1,6.59,192.94,996.79,28.35,12.48,258.0,Summer
2017,9,61.79,127.47,56.5,39.93,2.19,127.0,15.78,73.38,4.83,52.89,1006.18,18.78,12.91,240.67,Autumn
2017,10,142.95,153.23,64.72,22.31,2.95,104.17,21.03,62.58,4.71,169.02,1028.05,30.69,10.2,395.71,Autumn
2017,11,132.88,171.87,59.06,19.62,2.86,132.2,12.19,65.35,3.94,154.69,1009.29,29.21,9.7,276.18,Autumn
2017,12,94.57,168.84,62.53,23.51,3.22,85.74,23.4,67.9,7.82,197.78,1005.83,17.48,13.34,244.8,Winter
2018,1,155.35,159.85,44.57,25.46,2.67,71.86,25.66,64.58,4.67,126.37,1022.63,13.69,7.41,187.29,Winter
2018,2,139.38,101.56,61.52,29.99,2.1,91.72,24.63,59.56,6.01,225.23,1016.32,19.26,8.9,167.5,Winter
2018,3,126.06,207.3,64.17,33.92,2.9,137.03,11.65,70.22,4.81,105.28,1021.31,15.34,8.17,172.5,Spring
2018,4,121.55,208.95,52.29,9.62,3.0,83.87,25.84,55.08,5.81,148.74,999.88,20.23,5.96,101.75,Spring
2018,5,120.1,92.2,72.62,29.14,2.66,124.34,17.69,70.12,5.87,75.58,1026.32,21.4,11.5,212.0,Spring
2018,6,158.23,90.39,52.29,25.12,2.89,57.25,13.08,65.73,4.32,174.13,1013.53,14.94,8.88,320.2,Summer
2018,7,152.58,175.18,66.32,23.82,2.5,133.64,6.24,75.57,5.28,152.79,1021.14,28.51,11.74,301.17,Summer
2018,8,127.3,200.86,35.24,22.74,2.87,72.78,13.69,36.75,5.23,141.69,1022.33,26.49,12.51,250.83,Summer
2018,9,162.76,38.78,30.48,31.45,1.49,139.14,24.87,58.64,4.43,154.27,1022.3,45.7,11.74,238.0,Autumn
2018,10,119.37,189.51,37.66,28.65,1.67,90.2,15.17,51.5,3.41,120.36,1015.01,17.12,4.94,218.5,Autumn
2018,11,114.62,183.99,67.96,23.27,2.1,94.94,16.12,59.16,3.6,175.7,1031.56,19.23,9.32,202.25,Autumn
2018,12,161.34,48.37,60.07,32.67,4.89,32.26,15.86,90.53,8.07,171.36,1045.99,48.77,15.35,319.0,Winter
2019,1,129.92,94.84,29.73,23.44,2.86,49.8,19.28,53.93,4.5,232.78,1014.81,27.46,6.56,115.25,Winter
2019,2,176.73,178.59,27.96,29.73,1.91,89.56,12.85,45.18,3.45,162.38,1020.4,24.23,10.48,241.6,Winter
2019,3,38.9,148.89,47.35,24.73,2.56,27.89,7.87,76.15,4.73,42.65,1007.19,19.78,4.99,261.67,Spring
2019,4,133.58,133.38,52.58,18.29,3.27,103.14,11.86,63.34,4.84,182.18,1005.36,20.4,11.45,254.75,Spring
2019,5,137.54,213.57,51.5,30.08,2.9,86.34,13.64,33.04,4.59,197.8,1024.0,22.94,12.99,268.83,Spring
2019,6,79.33,182.5,67.07,13.74,3.08,80.45,8.39,31.63,4.66,97.54,1020.88,19.12,8.39,312.25,Summer
2019,7,139.34,179.21,54.62,39.98,2.9,138.72,11.88,67.72,6.12,142.2,1012.06,17.82,10.69,214.86,Summer
2019,8,132.34,79.43,62.65,30.49,0.53,103.76,-4.81,79.04,6.05,115.27,989.84,32.12,8.76,337.5,Summer
2019,9,95.11,160.28,69.79,26.3,3.26,105.86,1.25,52.0,4.7,117.83,1034.75,23.38,10.26,269.83,Autumn
2019,10,139.7,154.41,35.6,14.57,1.95,133.77,31.07,19.88,6.52,95.58,987.85,18.78,8.9,271.0,Autumn
2019,11,115.62,125.72,44.61,31.43,2.25,104.47,17.11,30.62,2.62,101.65,1019.51,28.57,11.4,241.0,Autumn
2019,12,139.78,180.49,55.98,22.95,2.82,92.73,19.03,64.21,5.52,184.31,1007.23,19.12,10.29,228.86,Winter
2020,1,135.85,147.33,68.01,30.65,3.51,74.86,23.06,64.77,5.61,344.16,1033.97,20.5,5.55,77.5,Winter
2020,2,137.17,180.21,51.16,25.12,2.05,75.34,7.16,49.67,5.12,146.44,1008.03,25.45,12.66,202.67,Winter
2020,3,106.33,32.62,51.1,32.45,0.44,86.33,10.02,15.69,0.1,140.94,1007.13,6.84,19.72,251.0,Spring
2020,4,142.32,182.51,50.17,34.25,2.76,97.11,11.77,62.69,4.26,249.77,1022.58,17.05,10.58,233.73,Spring
2020,5,112.29,211.43,54.93,24.39,2.72,117.03,20.52,65.71,4.93,217.42,1015.88,26.9,12.06,283.83,Spring
2020,6,104.95,195.27,78.04,14.07,3.61,133.66,18.02,61.5,5.35,241.95,1012.35,31.23,11.55,257.33,Summer
2020,7,137.81,207.98,34.39,23.87,2.12,100.67,5.63,58.43,5.71,214.46,1008.88,27.75,8.43,282.25,Summer
2020,8,174.69,174.12,33.88,34.21,1.59,135.33,6.28,79.28,4.19,164.64,1002.63,9.38,5.21,228.67,Summer
2020,9,120.92,86.44,53.46,37.37,2.04,141.67,11.55,60.76,5.96,115.95,1013.7,22.87,11.98,252.75,Autumn
2020,10,149.73,163.17,59.05,33.44,2.68,108.08,12.28,46.72,4.44,161.36,1009.74,24.98,13.05,240.4,Autumn
2020,11,131.46,116.88,66.17,29.56,3.16,70.95,24.59,38.93,5.37,169.93,1002.83,23.3,11.67,230.6,Autumn
2020,12,153.47,125.12,64.03,28.68,3.03,76.5,13.7,46.75,4.49,298.21,1011.79,18.44,7.52,325.17,Winter
2021,1,115.63,138.93,36.77,26.18,1.83,56.82,20.0,44.21,5.32,103.24,1028.89,32.15,8.96,90.0,Winter
2021,2,128.34,108.41,54.96,23.38,3.57,82.27,15.79,23.48,3.94,262.31,1020.96,17.58,14.48,330.67,Winter
2021,3,115.83,204.2,66.23,23.69,2.72,101.52,19.61,53.12,5.36,212.58,1013.94,22.26,4.95,355.86,Spring
2021,4,122.01,127.98,50.95,16.7,2.39,79.98,21.74,49.08,7.36,176.5,1036.32,31.7,12.94,193.33,Spring
2021,5,120.77,175.67,70.3,36.92,2.85,83.52,4.09,47.15,5.12,172.77,1022.21,22.69,10.57,155.2,Spring
2021,6,152.55,112.39,49.99,27.13,2.39,60.55,7.42,73.14,5.48,83.51,1024.22,27.92,7.03,149.0,Summer
2021,7,118.09,195.51,52.56,23.31,3.11,144.31,17.97,65.47,7.85,205.15,1017.42,37.21,12.63,237.25,Summer
2021,8,111.53,139.9,44.39,33.2,2.13,127.82,28.69,55.38,5.6,199.91,1016.3,17.33,11.68,288.6,Summer
2021,9,184.28,153.15,46.6,19.97,3.92,145.37,19.33,33.02,6.34,139.69,1007.13,21.26,10.36,326.0,Autumn
2021,10,223.23,115.95,90.78,1.69,4.65,30.69,7.94,36.28,3.97,133.5,1045.08,41.78,1.05,206.0,Autumn
2021,11,122.74,139.95,40.93,27.09,1.9,113.34,12.86,59.23,6.28,143.74,1013.76,31.47,8.16,104.5,Autumn
2021,12,60.21,55.11,63.23,25.44,2.1,127.07,1.47,90.15,2.53,198.82,998.78,33.67,12.3,161.0,Winter
2022,1,92.24,68.72,68.79,15.37,3.03,65.06,23.87,57.23,3.64,183.4,1013.61,21.76,9.53,270.33,Winter
2022,2,113.49,91.52,41.88,17.49,2.63,116.49,5.7,42.52,2.06,246.88,1016.0,12.26,9.79,363.33,Winter
2022,3,76.67,196.98,44.39,36.42,2.4,129.61,14.37,63.71,7.38,129.12,1021.36,21.74,8.51,215.25,Spring
2022,4,187.64,89.5,59.63,13.34,2.84,115.01,28.8,39.43,4.29,196.72,1020.48,24.6,11.05,353.0,Spring
2022,5,149.93,134.18,50.95,27.68,2.52,116.21,22.9,51.85,6.41,167.36,1018.23,23.75,7.26,216.75,Spring
2022,6,160.06,215.88,22.17,25.82,2.53,128.33,14.18,61.7,5.56,202.18,1013.16,10.88,13.06,200.67,Summer
2022,7,182.32,167.88,72.63,23.2,2.18,123.02,19.32,67.37,5.52,96.02,1018.87,22.05,11.28,236.6,Summer
2022,8,12.76,71.4,24.69,4.22,3.31,131.67,-1.59,33.15,4.31,125.8,1016.85,16.98,10.63,269.0,Summer
2022,9,125.29,200.03,61.48,24.33,2.04,123.99,14.4,33.42,5.05,212.52,1002.17,21.92,7.69,239.43,Autumn
2022,10,150.84,175.58,47.44,23.18,1.38,85.38,17.52,41.14,5.87,178.3,1004.88,31.25,10.43,282.88,Autumn
2022,11,54.8,167.27,48.52,26.88,3.11,101.39,18.49,59.92,5.25,104.79,1006.29,9.17,8.12,223.5,Autumn
2022,12,123.65,148.45,68.1,24.65,2.15,66.97,24.29,54.9,4.64,206.53,987.62,14.64,11.66,250.2,Winter
2023,1,211.89,133.9,36.03,24.17,2.6,110.95,24.18,46.13,6.67,142.09,1018.71,40.04,8.64,195.25,Winter
2023,2,137.08,192.63,66.01,24.99,2.38,112.15,11.98,48.83,4.8,215.08,1009.39,25.45,6.97,310.29,Winter
2023,3,167.47,148.08,72.84,15.5,1.47,172.2,11.32,50.88,7.32,244.62,1002.89,17.48,9.13,258.5,Spring
2023,4,33.56,256.0,18.1,43.13,3.05,199.88,28.34,46.45,5.35,22.45,1032.82,35.57,19.02,385.0,Spring
2023,5,130.25,195.59,43.17,10.91,2.81,176.67,11.36,55.96,4.19,213.1,999.91,35.21,13.93,270.33,Spring
2023,6,152.61,143.6,67.26,21.32,2.95,140.88,9.56,50.09,1.92,182.25,1000.91,21.92,6.8,128.29,Summer
2023,7,144.92,172.9,48.97,29.27,2.18,99.18,24.65,46.14,3.81,160.7,1007.36,21.33,12.72,224.67,Summer
2023,8,127.15,150.76,32.2,17.05,3.49,102.46,19.04,52.88,3.41,155.22,1014.71,18.25,5.39,264.4,Summer
2023,9,108.13,107.87,73.93,15.55,2.68,99.99,15.28,46.33,4.97,121.82,1009.65,27.14,7.42,279.57,Autumn
2023,10,110.36,166.17,44.46,21.11,2.56,73.23,18.64,62.56,5.7,178.21,1019.45,26.46,7.56,358.0,Autumn
2023,11,164.97,81.32,56.23,30.41,3.03,93.3,7.65,35.1,3.19,187.41,1007.66,40.94,13.61,303.8,Autumn
2023,12,56.55,198.23,57.89,17.87,3.52,33.41,14.36,66.31,4.36,285.92,1028.14,39.0,6.88,93.0,Winter
2024,1,96.48,130.3,42.44,27.98,2.82,140.86,22.95,49.86,4.62,175.7,1021.41,28.96,11.76,310.0,Winter
2024,2,149.15,163.3,30.46,25.05,1.41,85.52,14.42,64.2,5.87,185.91,1002.27,14.41,9.14,268.8,Winter
2024,3,129.24,188.28,67.74,9.18,2.35,69.67,21.85,54.02,2.07,182.32,1035.78,16.94,8.8,244.33,Spring
2024,4,130.92,120.83,60.08,35.37,2.35,112.0,11.51,30.4,4.57,177.04,1022.6,26.54,6.78,345.8,Spring
2024,5,106.41,151.9,73.7,26.27,2.16,114.0,14.25,55.17,5.04,179.79,1018.83,15.23,9.94,247.0,Spring
2024,6,126.24,132.93,43.95,24.9,2.83,120.25,23.66,53.56,5.56,139.8,1011.04,21.21,8.64,258.86,Summer
2024,7,147.29,182.28,64.07,33.38,2.9,113.89,21.54,63.27,4.82,173.24,1012.79,19.38,9.7,240.83,Summer
2024,8,118.46,186.17,54.31,25.58,1.81,101.56,8.62,60.12,3.78,223.64,1022.35,27.1,12.63,184.11,Summer
2024,9,139.34,135.61,45.27,32.14,2.69,92.55,6.23,64.79,2.9,236.39,1012.54,25.82,14.05,318.83,Autumn
2024,10,124.68,98.03,20.4,41.07,1.24,85.51,13.05,73.39,4.58,283.22,1014.96,27.96,15.11,313.67,Autumn
2024,11,150.86,198.82,49.55,19.55,0.72,127.61,8.52,59.46,4.02,178.61,1013.78,31.14,10.69,372.2,Autumn
2024,12,108.36,136.03,54.78,30.95,2.61,141.45,19.24,47.75,5.77,158.58,1016.67,21.06,12.38,252.38,Winter
