PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),SO2 (µg/m³),CO (mg/m³),O3 (µg/m³),Temperature (°C),Humidity (%),Wind Speed (m/s),Wind Direction (°),Pressure (hPa),Precipitation (mm),Visibility (km),AQI,Season,City,Latitude,Longitude,Day of Week,Hour,Month,Year,Weather Condition,Station ID
94.4373366,253.53316,57.75923155,3.676371793,2.568403676,116.3836533,4.578448936,43.40608201,7.86179936,266.3388894,990.7806539,30.03491858,18.27002825,4,Spring,Shenzhen,36.26812184,112.1992506,Sunday,2,7,2016,Haze,58
194.1747896,165.6050238,75.11740343,22.24319891,1.528823481,178.4285597,37.33224996,27.44609702,9.742233349,27.26646452,994.6163341,47.45427696,2.049126117,48,Spring,Shanghai,48.62907998,105.2383018,Monday,17,11,2017,Cloudy,18
45.03766145,24.73252612,61.40065713,2.309529275,2.629654402,156.3548322,30.32576231,48.36432246,1.749702498,258.8316387,1009.01285,4.030126383,0.813023208,49,Autumn,Beijing,32.15518446,127.6483364,Sunday,6,7,2017,Fog,35
76.13185665,78.79074992,77.27404646,24.30238856,1.732926301,81.61193937,7.405654016,60.58265767,8.791379007,306.4821631,985.2735511,29.05192313,14.37222952,271,Summer,Shanghai,45.4007853,119.6157928,Monday,17,3,2020,Snow,77
204.1279285,62.68068553,99.51937161,48.8426445,2.68782736,70.31427658,6.125376128,79.8903636,2.39513234,154.2108011,1046.86535,14.82494309,10.70631444,372,Spring,Beijing,40.35374023,99.19590963,Tuesday,3,12,2020,Clear,47
104.7170697,83.67454725,46.49988422,7.444260812,4.548936477,194.088288,16.68610325,10.77109796,5.903046662,289.6854861,1034.38192,31.14075697,14.11250968,219,Autumn,Beijing,20.24494276,105.5285845,Thursday,4,4,2024,Fog,28
55.3184398,187.1069161,73.00447999,29.48647931,2.310993018,22.61437178,8.834784311,87.09408424,3.608288714,20.02733643,1016.058659,11.65230332,0.92131396,86,Autumn,Shenzhen,24.2448055,110.0066982,Friday,23,3,2019,Clear,21
37.53759096,108.6068492,95.97782321,19.14298274,0.721397765,15.83242227,4.722153376,29.88227468,8.992637241,344.0740624,995.9449702,17.94276128,11.32267518,292,Autumn,Shenzhen,20.11589883,101.9145659,Wednesday,21,6,2023,Cloudy,3
130.9501253,154.5426585,13.04288029,43.50469011,3.735446363,153.3026988,31.55538048,67.61949147,7.639077556,233.2193089,1005.08996,34.95608875,9.412054652,208,Spring,Chengdu,48.51101145,127.4227455,Tuesday,9,9,2021,Snow,23
83.79424638,87.95313597,12.10338696,34.48442958,1.955263935,186.098703,-3.625665353,83.67539557,2.57938311,43.54103895,991.7600862,21.79784239,2.110079646,139,Autumn,Guangzhou,30.43487263,128.0131383,Monday,15,10,2017,Haze,25
